"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
中诚信征信有限公司（简称“中诚信征信”）隶属于中国诚信集团。在企业征信、个人征信、信用风险管理、商业信息服务、市场调研咨询等领域，拥有10多年的丰富经验公司始终坚守中立、客观、公正的理念，秉持专业、诚信、严谨的操守，做市场认可的独立第三方征信机构。
中诚信征信于 2014 年 6 月获得全国首批企业征信业务经营备案，并于 2015 年 1 月成为首批获准开展个人征信业务准备工作的独立第三方征信机构。
作为第一批由央行批准开展个人征信准备工作的8家机构之一，我们在商业利益驱动以外，希望能通过市场化行为和生活化应用让更多的人更好的了解个人信用价值，促进我国社会化信用体系建设良性发展。
 
 在标准征信业务中，中诚信征信在行业中具备领先优势，来自于我们对以下环节的高标准要求：
采集——自有平台，网络爬虫、OPEN API方式；我们的采集渠道多达上百个，包括电商、社交平台、运营商、工商等；
存储——传统数据库、Hadoop数据大平台；
挖掘——文本挖掘、情感语义分析、机器学习等；
服务——信用分，信用报告，信用监控，大数据智慧服务等。
 
我们不仅为员工提供优厚的福利保障，还致力于打造轻松、愉快的团队环境：
——按国家标准缴纳社保、公积金；
——年底双薪；
——扁平化管理，平易近人的领导团队；
——丰富的内、外部培训分享平台；
——各类丰富有趣的团建活动；
——弹性的工作时间；
——免费的优质午餐、可口的下午茶；
——位于东二环环境优美的独立四合院，紧邻地铁5、6号线东四站。
 
北京市东城区东四南大街礼士胡同54号

        
    "
"2706888" "郑州" "移动互联网" "上海易宝软件有限公司深圳分公司" "150-500人" "上市公司" "本科" "1-3年" "数据挖掘" "7K-12K" "
        职位描述：
        
        会算法，熟悉数据挖掘。相关工作经验3年以上
        
    "
"2531930" "上海" "金融" "钱牛牛" "150-500人" "成长型(B轮)" "本科" "1-3年" "数据挖掘" "15k-25k" "
        职位描述：
        
        岗位职责
1、负责海量数据的分析处理和数据统计系统的研发；
2、根据相关业务需求，进行数据处理、分析及统计；
3、Hadoop环境的维护、调优以及搭建；
4、大规模分布式网络爬虫的设计与开发；
5、数据仓库的研发、设计与维护。
 
岗位要求
1、精通java，熟悉R语言、python、shell、scala至少一种以上；
2、熟悉Hadoop、Hbase、spark、Hive，Map/Reduce编程；
3、熟悉Linux开发环境，两年以上Hadoop开发经验；
4、对数据结构、算法有深刻理解，具有数据分析、数据挖掘相关经验者优先 ；
5、有文本挖掘、用户画像、自然语言处理、推荐系统、机器学习等研究经历或工作经历优先；
6、硕士及硕士以上学历，具备良好的团队协作及沟通能力。

        
    "
"2225573" "深圳" "数据服务,移动互联网" "试金石信用" "50-150人" "成长型(不需要融资)" "本科" "3-5年" "数据挖掘工程师" "20k-40k" "
        职位描述：
        
        
岗位职责：
1、参与产品及业务需求评审，深入分析通信数据、金融数据、互联网数据，基于大数据基础平台（如Spark/Hadoop）或并行计算环境，应用统计学、机器学习、数据挖掘等技术建立模型，快速实现对于数据分析、挖掘的需求；
2、能够从业务和产品的角度出发，利用数据来发现产品、系统或是业务的瓶颈，并提出优化的方案；
3、研究已有算法的瓶颈，提出合理的改进措施和解决方案；
4、跟踪研究数据挖掘的新技术、新算法、新实践，提出适合征信、风控领域的模型实施方案。
 
任职要求： 1、计算机，数学，统计学等相关专业本科以上学历；
2、5年以上相关工作经验，有统计建模、机器学习（聚类、分类、回归等）或数据挖掘应用的项目或研究经验；
3、精通Linux开发，熟悉Perl/Shell/Ruby等脚本语言，具备C/C++、Java、Go等编程能力，熟悉数据库，对常用数据结构和算法有较为深刻的理解；
4、征信、金融、大数据、通信业从业背景人员优先，熟练使用R、Python、Weka、Julia、Mahout、GraphX、MLlib、Scala，以及机器学习开源框架TensorFlow，Caffe，Mxnet者优先。


薪资范围：20-45K

参加面试的候选人需提前提供或者携带模型上线评审意见（可以自评审）及代码（可以是伪代码）
        
    "
"635288" "长沙" "电子商务" "步步高电商（云猴网）" "150-500人" "初创型(未融资)" "本科" "3-5年" "数据挖掘工程师" "10k-18k" "
        职位描述：
        
        职责：
1)对海量业务数据进行分析，并利用算法挖掘用户行为特征，发现潜在规律，建立机器学习算法并优化； 2)利用数据挖掘技术分析、预测用户的消费行为；建立各种业务逻辑模型和数学模型，帮助公司改善运营管理，节省成本；
 
要求：
1)大学本科及以上学历；2)统计学、会计学、数学、物理等相关专业；3)本科5年以上同岗位工作经验，研究生3年以上同岗位工作经验；4)对统计学和数据挖掘算法原理有较为深刻的理解，了解数据仓库思想，熟悉SPSS、SAS、R、MAHOUT等数据挖掘软件之一； 5)熟悉决策树、聚类、逻辑回归，关联分析、SVM，贝叶斯等数据挖掘算法，有海量数据挖掘的项目经验； 6)有用户行为分析、用户建模、业务建模、数学建模经验优先； 7)良好的逻辑分析能力、分析问题和解决问题的能力，对数据敏感，良好的沟通能力
        
    "
"2748157" "北京" "金融" "大特保" "50-150人" "成长型(B轮)" "本科" "3-5年" "数据挖掘工程师" "15k-25k" "
        职位描述：
        
        岗位职责：
1、用户行为的分析和挖掘，构建用户画像、标签系统等；
2、根据用户各维度特征，负责保险&健康服务产品的推荐；
3、根据用户健康数据，建立和维护健康模型，构建健康预警；
4、配合产品、运营的数据需求和数据应用；
 
岗位要求：
1、计算机或相关专业本科以上学历，2年以上相关工作经验；
2、精通至少一种开发语言（Python，Ruby，Java等)、熟悉数据结构与算法、熟悉脚本编程，有良好的编程习惯；
3、熟悉数据挖掘、机器学习等相关技术；
4、优秀的分析和解决问题的能力，对挑战性问题充满激情；
5、具备良好的团队合作精神，较强的沟通能力，具备良好的技术领导能力；
6、有推荐项目经验、健康数据经验者优先。
        
    "
"1890132" "上海" "移动互联网" "Hypers" "50-150人" "上市公司" "本科" "不限" "数据挖掘" "15k-30k" "
        职位描述：
        
        岗位职责：                                 

1.负责基于Hadoop（CDH、HDP）平台架构的规划、设计和搭建；

2.独立或者带领团队完成各种面向业务目标的数据分析模型定义和应用开发；

3.针对海量的数据开发具有数据收集、统计、分析和挖掘能力的创新型产品；

4.基于MapReduce、Spark、Flume等的大数据开发；

5.学习和研究大数据技术最新动向以满足产品、项目的需求。

 

要求：

1.计算机相关专业本科及以上；

2.软件基础理论知识扎实，具有良好的数据结构、算法功底；

3.精通Hadoop等分布式开发，如：MapReduce、Spark，具有扎实的Java／Scala等开发语言功底；

4.熟悉Hadoop相关各种开源项目，如：Flume、Hive、Hbase等，并有实际应用者优先；

5.熟悉Solr／Lucene开发，熟悉NoSQL数据库者优先；

6.对新技术敏感，有一定独立分析，技术研究能力；

7.熟练使用Linux环境下开发者优先；熟悉至少一种版本控制工具，如：Git、SVN、Mercurial；

8.有个人开源项目或参与开源项目者优先；

9.有代码洁癖和自发组织Code Review的开发者优先。

        
    "
"2761686" "武汉" "信息安全" "绿盟科技" "500-2000人" "上市公司" "本科" "3-5年" "数据挖掘工程师" "10k-20k" "
        职位描述：
        
        
工作职责：
1.互联网基础数据(netflow,dns,流量等)和产品日志的收集与分析；
2.安全事件的追踪与分析（网络数据分析和样本分析）。 
职位要求：
1.硕士以上学历，信息安全、计算机科学或计算机网络等相关方向，在数据分析、人工智能、机器学习等相关领域发表过高水平论文优先；
2.熟悉scala/java/python/R等编程语言；
3.熟悉linux平台上的开发技能；
4.熟悉spark/hadoop/elk等大数据处理平台技术；
5.熟悉netflow/tcpip/dpi/dns等网络技术；
6.了解样本分析/数据挖掘技术者优先考虑；有数据挖掘经验(spark mlib/R packages/scikit-learn)者优先考虑；了解网络安全，熟悉各类安全产品者优先考虑；了解若干主流分布式计算和图计算者优先考虑。

        
    "
"2679562" "北京" "金融" "京东金融" "2000人以上" "上市公司" "本科" "3-5年" "数据挖掘工程师" "20k-40k" "
        职位描述：
        
        工作职责: 
1、负责数据的清洗、去噪和特征提取工作； 
2、负责风控的数据挖掘，利用机器学习方法，建立反欺诈模型、信用评分模型和风险定 价模型； 
3、负责风控数据的统计分析，发掘数据中包含的风险指标，为产品运营提供决策支持。；
4、参与风控平台建设。 
岗位要求: 
1、大学本科及以上学历，统计学、数学、计算机等相关专业优先；良好的数学基础，扎 实的数据挖掘功底，熟悉常用的机器学习算法；
2、有大数据风控、反欺诈方面工作经验者优先；
3、有丰富的 python 编程经验，熟悉 Spark、Hadoop 等平台，能熟练使用 hive；
4、较强的分析问题和解决问题的能力。

        
    "
"1844664" "上海" "移动互联网" "安个家" "500-2000人" "成长型(B轮)" "本科" "3-5年" "数据挖掘工程师" "15k-25k" "
        职位描述：
        
        职责范围：
1、  负责完善个性化推荐，RANK等算法，提高产品用户体验和推荐效果；
2、  负责各算法和模型的分布式实现，负责系统设计和代码文档；
3、  参与数据清洗和过滤、特征抽取、参数选择、算法实验、效果分析，参与与内外部客户的交流。
 
职位要求：
1、  统计学、应用数学、模式识别、人工智能、自动化、统计、运筹、计算机等专业硕士以上学历；
2、  三年以上相关工作经验；
3、  有推荐系统、精准营销、精准广告、信息检索等方面的实际工作经验；
4、  有Hadoop Hbase、Kafka、SPARK Mllib、Flink等大规模分布式计算平台的使用和并行算法的开发经验；
5、  对机器学习、概率统计、RANK、最优化等算法原理及其在互联网行业的应用有深入的理解和浓厚的兴趣；良好的逻辑分析能力、分析问题和解决问题的能力；对数据敏感，良好的沟通能力；
6、  熟练掌握至少一种编程语言，Java、Scala、R、Python；
7、  熟悉Linux、Hadoop工作环境。

        
    "
"2791698" "成都" "移动互联网,旅游" "启发分期" "150-500人" "初创型(未融资)" "本科" "1-3年" "数据挖掘工程师" "8k-16k" "
        职位描述：
        
        岗位职责：
1、获取数据挖掘应用场景，负责方案设计、实施和交付，能快速理解业务应用场景，抽象解决方案并快速落地；
2、通过数据挖掘技术分析用户行为，探究用户行为特征，发现有价值的行为模式、实施用户画像；
